Lat,Lon,Lat_Lon,County FIPS,County Name,Block FIPS,Block bbox,Block intersection FIPF1,Block intersection FIPF2
42.953758,-74.216194,"(42.953758, -74.216194)",36057,Montgomery,360570704001001,"[-74.221343, 42.952963, -74.214005, 42.957122]",360570704001001,360570704001022
42.68631,-74.482956,"(42.68631, -74.482956)",36095,Schoharie,360957402004010,"[-74.483467, 42.682167, -74.472268, 42.689666]",360957402004010,360957402004018
40.968262,-73.885033,"(40.968262, -73.885033)",36119,Westchester,361190007012002,"[-73.889889, 40.961047, -73.884518, 40.972239]",361190007012002,361190008011005
40.739605,-73.976509,"(40.739605, -73.976509)",36061,New York,360610062001002,"[-73.977148, 40.73801, -73.973705, 40.740644]",360610062001002,360610066008000
40.516773,-74.196808,"(40.516773, -74.196808)",36085,Richmond,360850198004043,"[-74.196996, 40.515928, -74.195002, 40.518289]",360850198004043,360850198003026
40.635807,-74.106674,"(40.635807, -74.106674)",36085,Richmond,360850067001011,"[-74.107101, 40.634663, -74.102526, 40.637702]",360850067001011,360850105001004
40.696751,-73.286324,"(40.696751, -73.286324)",36103,Suffolk,361031470012005,"[-73.286504, 40.690694, -73.277658, 40.69704]",361031470012005,361031470013035
40.710426,-74.005486,"(40.710426, -74.005486)",36061,New York,360610015011012,"[-74.005599, 40.70966, -74.004253, 40.710936]",360610015011012,360610015011008
40.784775,-73.94368,"(40.784775, -73.94368)",36061,New York,360610156021000,"[-73.946588, 40.783933, -73.943319, 40.786173]",360610156021000,360610162005011
40.584141,-74.086998,"(40.584141, -74.086998)",36085,Richmond,360850070001005,"[-74.088496, 40.57925, -74.071295, 40.59221]",,
40.646591,-74.020439,"(40.646591, -74.020439)",36047,Kings,360470022001001,"[-74.022622, 40.645733, -74.019836, 40.647621]",360470022001001,360470022001000
40.768269,-73.924461,"(40.768269, -73.924461)",36081,Queens,360810073001001,"[-73.925417, 40.767011, -73.92298, 40.768619]",360810073001001,360810071003001
40.736208,-74.000063,"(40.736208, -74.000063)",36061,New York,360610071003000,"[-74.001095, 40.735391, -73.997805, 40.73723]",360610071003000,360610071003001
43.454781,-76.516434,"(43.454781, -76.516434)",36075,Oswego,360750216013015,"[-76.517522, 43.452161, -76.515063, 43.454983]",360750216013015,360750216013014
43.042622,-76.138809,"(43.042622, -76.138809)",36067,Onondaga,360670043011001,"[-76.142435, 43.037507, -76.137847, 43.042709]",360670043011001,360670043021006
43.007816,-76.17025,"(43.007816, -76.17025)",36067,Onondaga,360670163006013,"[-76.170617, 43.003653, -76.159866, 43.011633]",360670163006013,360670163006010
43.055744,-76.149384,"(43.055744, -76.149384)",36067,Onondaga,360670023002005,"[-76.151476, 43.054021, -76.148073, 43.057375]",,
43.041107,-76.137932,"(43.041107, -76.137932)",36067,Onondaga,360670043011001,"[-76.142435, 43.037507, -76.137847, 43.042709]",360670043011001,360670043011000
43.315116,-76.406098,"(43.315116, -76.406098)",36075,Oswego,360750211021035,"[-76.40789, 43.313559, -76.404951, 43.316301]",360750211021035,360750211021037
40.747517,-73.826035,"(40.747517, -73.826035)",36081,Queens,360810799001004,"[-73.8262, 40.746089, -73.824198, 40.748311]",360810799001004,360810799001003
40.598637,-73.752769,"(40.598637, -73.752769)",36081,Queens,360810998013004,"[-73.754262, 40.597316, -73.752457, 40.599502]",360810998013004,360811010011005
